,2 digit code,Description
0,21,"Mining, quarrying, and oil and gas extraction"
1,11,"Agriculture, forestry, fishing and hunting"
2,55,Management of companies and enterprises
3,62,Health care and social assistance
4,22,Utilities
5,92,Public administration
6,54,"Professional, scientific, and technical services"
7,42,Wholesale trade
8,31–33,Manufacturing
9,81,Other services (except public administration)
10,71,"Arts, entertainment, and recreation"
11,72,Accommodation and food services
12,44–45,Retail trade
13,23,Construction
14,56,Administrative/support & waste management/remediation Service
15,61,Educational services
16,51,Information
17,48–49,Transportation and warehousing
18,52,Finance and insurance
19,53,Real estate and rental and leasing
